{TopLeft=o,MiddleMiddle= o,BottomRight= o} => {Class= True}
{TopLeft=o,MiddleLeft= x,MiddleMiddle= o} => {Class= True}
{TopLeft=o,TopMiddle= x,MiddleMiddle= o} => {Class= True}
{TopRight= o,MiddleMiddle= o,BottomLeft= o} => {Class= True}
{TopRight= o,MiddleMiddle= o,MiddleRight= x} => {Class= True}
{TopMiddle= x,TopRight= o,MiddleMiddle= o} => {Class= True}
{MiddleLeft= x,MiddleMiddle= o,BottomLeft= o} => {Class= True}
{MiddleMiddle= o,BottomLeft= o,BottomMiddle= x} => {Class= True}
{MiddleMiddle= o,BottomMiddle= x,BottomRight= o} => {Class= True}
{MiddleMiddle= o,MiddleRight= x,BottomRight= o} => {Class= True}
{MiddleLeft= x,MiddleMiddle= o,MiddleRight= x} => {Class= True}
{TopMiddle= x,MiddleMiddle= o,BottomMiddle= x} => {Class= True}
